NUME,SEX,BIRTH,VARSTA,DATA,PISTA,DISTANTA,BOXA,SECTIONAL,CURBA,POZITIE,X,X,REMARK,FINAL,CONDITII,WEIGHT,,GRAD,FINAL CALC
Anglesey Rolex,D,01/10/2023,1,21/06/2025,Monmr,480m,[3],4.6,5334,4th,9,Amka Raven,"MsdBrk,Mid,Crd1/4&4",29.49,-10,30,11/8F,A9,30.1
Anglesey Rolex,D,01/10/2023,1,14/06/2025,Monmr,480m,[3],4.58,4222,2nd,1½,Angleseyparadise,"MsdBrk,EP",29.38,10,30.3,07-Apr,A9,29.6
Anglesey Rolex,D,01/10/2023,1,09/06/2025,Monmr,480m,[3],4.53,1111,2nd,nk,Angleseyparadise,"QAw,Mid,Ld-NrLn",29.51,10,30,5/6F,A9,29.64
Anglesey Rolex,D,01/10/2023,1,31/05/2025,Monmr,480m,[3],4.44,2222,2nd,1½,Superstar Aria,"EP,Mid,EvCh",29.24,20,30.1,7/4F,A9,29.56
Anglesey Rolex,D,01/10/2023,1,17/05/2025,Monmr,480m,[5],4.49,2333,4th,6¼,Canispeak,"Mid,CrdRnUp,Fcd-Ck3",29.06,10,30.3,11-Apr,A9,29.66
Anglesey Rolex,D,01/10/2023,1,08/05/2025,Monmr,480m,[5],4.52,2221,3rd,1¾,Fairy Tackle,"EP,Mid-W,Ld3-4",29.37,20,30,13/8F,A9,29.7
Anglesey Rolex,D,01/10/2023,1,24/04/2025,Monmr,480m,[3],4.58,5344,5th,8¾,Fruit Cake,"Mid,Crd1",29.13,10,29.9,09-Feb,A8,29.93
Anglesey Rolex,D,01/10/2023,1,17/04/2025,Monmr,480m,[5],4.54,1111,1st,4¾,Patoka,"QAw,Mid,ALd",29.66,N,29.9,,T3,29.66
Anglesey Rolex,D,01/10/2023,1,08/04/2025,Monmr,480m,[3],4.54,1111,2nd,shd,Flyhigh Star,"QAw,Mid,Ld-NrLn",29.74,10,29.9,,T3,29.85
Anglesey Rolex,D,01/10/2023,1,01/04/2025,Monmr,264m,[4],,,,,Solo,Mid,16.28,-10,29.8,,T1,16.18
Anglesey Rolex,D,01/10/2023,1,25/03/2025,Monmr,210m,[5],,,,,Solo,Mid,13.19,N,29.5,,T1,13.19
Amka Raven,B,01/08/2023,1,21/06/2025,Monmr,480m,[4],4.46,1111,1st,1¾,Signet Star,"QAw,Mid,ALd",29.49,-10,27.2,08-Jan,A9,29.39
Amka Raven,B,01/08/2023,1,16/06/2025,Monmr,480m,[3],4.44,1111,2nd,½,Whisky Insta,"QAw,Mid,Ld-NrLn",29.38,20,27.3,08-Jan,A9,29.63
Amka Raven,B,01/08/2023,1,07/06/2025,Monmr,480m,[3],4.43,1111,1st,4½,Bombay Lucky,"QAw,Mid,ALd",29.7,N,27.7,11-Apr,A10,29.7
Amka Raven,B,01/08/2023,1,31/05/2025,Monmr,264m,[3],,4-5-,5th,3,Coolemount Sarah,"MsdBrk,EP,Crd1",16.11,N,27.7,10/11F,D4,16.35
Amka Raven,B,01/08/2023,1,26/05/2025,Monmr,264m,[3],,5-4-,2nd,½,Longacres Vinyl,"MsdBrk,Mid,Crd1,RnOn",16.17,-5,27.7,09-Apr,D4,16.16
Amka Raven,B,01/08/2023,1,20/05/2025,Monmr,264m,[3],,6-6-,5th,5¼,Signet Meryl,"SAw,Crd1",15.69,15,27.8,05-Jan,D4,16.26
Amka Raven,B,01/08/2023,1,14/05/2025,Monmr,264m,[3],,4-1-,1st,1¾,Coolemount Sarah,"EP,Mid,Ld1",15.98,5,28,07-Feb,D4,16.03
Amka Raven,B,01/08/2023,1,07/05/2025,Monmr,264m,[3],,4-3-,2nd,2¼,Homerun Hound,"Mid,RnOn",15.88,10,28.2,03-Jan,D4,16.17
Amka Raven,B,01/08/2023,1,28/04/2025,Monmr,264m,[2],,5-4-,3rd,2¼,Darver Ninetysix,"MsdBrk,Mid,Crd1",16.09,N,27.6,07-Feb,D4,16.28
Amka Raven,B,01/08/2023,1,24/04/2025,Monmr,264m,[3],,5-4-,4th,5¼,Record Saint,"SAw,Mid",15.69,10,27.5,10-Jan,D3,16.21
Amka Raven,B,01/08/2023,1,16/04/2025,Monmr,264m,[2],,3-2-,1st,shd,Treacle Sponge,"EP,LdNrLn",16.29,-5,27.4,11/10F,D4,16.24
Amka Raven,B,01/08/2023,1,09/04/2025,Monmr,264m,[4],,4-3-,3rd,1½,Vixons Samba,"Mid,Crd1",16.11,N,27.4,07-Jan,D4,16.23
Amka Raven,B,01/08/2023,1,03/04/2025,Monmr,480m,[3],4.46,1113,6th,8¾,Ballydoyle Pedro,"QAw,Mid,Ld-3",29.47,10,26.8,08-Jan,A10,30.28
Amka Raven,B,01/08/2023,1,29/03/2025,Monmr,264m,[2],,3-3-,4th,1,Baby Swirl,Crd1,16.29,5,27.2,05-Feb,D4,16.43
Amka Raven,B,01/08/2023,1,20/03/2025,Monmr,480m,[2],4.55,1225,6th,6½,Aero Leito,"QAw,Crd3&3/4",30.08,-20,26.6,16-Jan,A10,30.4
Amka Raven,B,01/08/2023,1,15/03/2025,Monmr,264m,[3],,4-5-,6th,6½,Got The Large,"MsdBrk,Mid-Rls",15.95,-5,26.9,10-Jan,D4,16.42
Amka Raven,B,01/08/2023,1,10/03/2025,Monmr,264m,[2],,5-3-,3rd,3¼,Cloud Of Dust,"Mid,Crd1&1/2,(HT)",16.23,N,26.4,03-Jan,D4,16.48
Signet Star,B,01/09/2021,3,14/06/2025,Monmr,480m,[6],4.42,1333,2nd,3¼,Fireman,"QAw,W,EvCh",28.79,40,29.3,14-Jan,A9,29.45
Signet Star,B,01/09/2021,3,05/06/2025,Monmr,480m,[5],4.45,2444,2nd,1¼,Tibsy Wibsy,"W,RnOn",29.49,-10,29,04-Jan,A9,29.49
Signet Star,B,01/09/2021,3,26/05/2025,Monmr,480m,[6],4.5,4555,5th,9½,Ballintemple Inn,"EP,W,Blk1",29.24,10,29.1,10-Jan,A8,30.1
Signet Star,B,01/09/2021,3,14/05/2025,Monmr,480m,[6],4.48,1111,1st,4,Flyhigh Cerberus,"QAw,W,ALd",29.45,10,29.2,07-Jan,A9,29.55
Signet Star,B,01/09/2021,3,07/05/2025,Monmr,264m,[6],,5-6-,6th,7¾,Millbank Pretty,"MsdBrk,W,Crd1",15.8,5,29.3,12-Jan,D4,16.47
Signet Star,B,01/09/2021,3,28/04/2025,Monmr,264m,[6],,1-1-,2nd,1¾,Droopys Admirer,"QAw,W,EvCh",15.91,-10,29.2,,T2,15.95
Signet Star,B,01/09/2021,3,24/03/2025,Monmr,480m,[5],4.48,4666,3rd,2½,Aero Bobbi,"W,RnOnLate",29.51,-10,28.9,10-Jan,A9,29.62
Signet Star,B,01/09/2021,3,18/03/2025,Monmr,480m,[6],4.43,2555,4th,2¾,Bloos Ladysandra,"EP,W,ClrRn",29.26,10,29.3,04-Jan,A9,29.58
Signet Star,B,01/09/2021,3,10/03/2025,Monmr,480m,[5],4.51,4666,6th,3¼,Prestons Pride,"W,Fcd-CkRnUp",29.38,N,29.2,7/4F,A9,29.64
Signet Star,B,01/09/2021,3,03/03/2025,Monmr,480m,[5],4.51,3334,2nd,hd,Tullymurry Otto,"W,FnWll",29.45,N,29.2,8/11F,A9,29.47
Outdoor Phoenix,B,01/06/2022,3,21/06/2025,Monmr,480m,[6],4.5,3466,6th,9¼,Amka Raven,"W,Crd1/4",29.49,-10,28.4,04-Jan,A9,30.12
Outdoor Phoenix,B,01/06/2022,3,14/06/2025,Monmr,480m,[5],4.5,3222,4th,6¼,Fireman,"EP,W,EvCh",28.79,40,28.2,07-Jan,A9,29.68
Outdoor Phoenix,B,01/06/2022,3,07/06/2025,Monmr,480m,[6],4.52,4111,3rd,½,Bit View Barry,"EP,W,Ld1-NrLn",29.51,N,28.1,15/8F,A9,29.56
