NUME,SEX,BIRTH,VARSTA,DATA,PISTA,DISTANTA,BOXA,SECTIONAL,CURBA,POZITIE,X,X,REMARK,FINAL,CONDITII,WEIGHT,,GRAD,FINAL CALC
Bombay Boss,D,01/10/2022,2,28/04/2025,Yrmth,462m,[3],5.44,6555,4th,5½,Orchid Kingdom,"Mid,Crd-1",28.5,N,33,07-Feb,A5,28.95
Bombay Boss,D,01/10/2022,2,23/04/2025,Yrmth,462m,[3],5.44,2334,4th,3¼,Alfies Lad,Mid,28.45,N,33.3,03-Jan,A5,28.71
Bombay Boss,D,01/10/2022,2,19/04/2025,Yrmth,659m,[3],17.01,4433,4th,9,Pavilion Colleen,Mid,41.43,N,33.5,07-Jan,OR,42.15
Bombay Boss,D,01/10/2022,2,14/04/2025,Yrmth,462m,[4],5.45,5334,3rd,4,Lilac Lady,"Mid,Crd3/4",28.22,10,32.8,07-Feb,A5,28.64
Bombay Boss,D,01/10/2022,2,09/04/2025,Yrmth,659m,[4],16.78,1111,3rd,1½,Gone At Last,"Mid,Ld-RnIn",42.34,N,32,06-Jan,S3,42.46
Bombay Boss,D,01/10/2022,2,02/04/2025,Yrmth,462m,[5],5.47,5666,6th,14¼,Ballyalton,"Mid-W,CrdStt,BdBlk1",27.85,30,32.4,04-Jan,A5,29.29
Bombay Boss,D,01/10/2022,2,26/03/2025,Yrmth,462m,[5],5.43,5556,6th,6½,Kilgarran Lemon,"Mid-W,Crd2&4",28.44,N,31.9,08-Jan,A4,28.97
Bombay Boss,D,01/10/2022,2,17/03/2025,Yrmth,462m,[6],5.47,5655,6th,6¼,Adamant Kyle,"W,Crd1",28.53,-10,31.8,05-Jan,A4,28.94
Bombay Boss,D,01/10/2022,2,08/03/2025,Yrmth,462m,[6],5.42,5555,6th,8¾,Drumdoit Sadie,"W,Crd1",28.28,N,31.6,14-Jan,A3,28.98
Bombay Boss,D,01/10/2022,2,02/03/2025,Yrmth,462m,[6],5.44,6665,5th,10¼,Ontherun Zara,"VW,Crd1/4",27.97,N,31.6,12-Jan,A3,28.8
Droopys Natalie,B,Jan-23,2,09/06/2025,Yrmth,462m,[1],5.44,1466,6th,10¼,Outdoor Cracker,"QAw,Rls,Crd1&3",27.73,N,26.8,25-Jan,A1,28.55
Droopys Natalie,B,Jan-23,2,04/06/2025,Yrmth,462m,[1],5.38,3111,1st,¾,Bit View Sal,"Rls-Mid,LdRnUp,StydOn",28.34,20,26.6,11-Apr,A3,28.54
Droopys Natalie,B,Jan-23,2,31/05/2025,Yrmth,462m,[3],5.17,1111,2nd,½,Move Over Archie,"Mid,Ld-NrLn",28.08,20,26.7,09-Feb,A2,28.32
Droopys Natalie,B,Jan-23,2,12/05/2025,Yrmth,462m,[1],5.39,5655,6th,6¼,Wendil Waves,"Rls,Crd1&3",27.93,10,26.7,09-Jan,A2,28.54
Droopys Natalie,B,Jan-23,2,05/05/2025,Yrmth,462m,[1],5.37,1211,1st,1,Rings Ruby,"QAw,Rls-Mid,Ld1/2,StydOn",28.13,20,26.7,100/30,A3,28.33
Droopys Natalie,B,Jan-23,2,30/04/2025,Yrmth,462m,[1],5.4,3433,3rd,8,Rolo Sabbath,"Rls-Mid,Crd1&1/4",27.94,30,26.6,09-Apr,A3,28.89
Droopys Natalie,B,Jan-23,2,26/04/2025,Yrmth,462m,[2],5.28,1665,5th,6¼,Rapido Mateo,"QAw,Rls-Mid,BdCrd1",28.14,10,26.6,04-Jan,A3,28.74
Droopys Natalie,B,Jan-23,2,21/04/2025,Yrmth,462m,[2],5.29,3435,5th,7,Naphill,"Rls-Mid,Crd1,Blk3",28.14,N,26.6,03-Jan,A3,28.7
Droopys Natalie,B,Jan-23,2,16/04/2025,Yrmth,462m,[1],5.34,3223,3rd,1¾,Moaning Beth,Rls,28.3,10,26.6,04-Jan,A3,28.54
