NUME,SEX,BIRTH,VARSTA,DATA,PISTA,DISTANTA,BOXA,SECTIONAL,CURBA,POZITIE,X,X,REMARK,FINAL,CONDITII,WEIGHT,,GRAD,FINAL CALC
Pyrus,D,01/05/2023,2,31/03/2025,Yrmth,462m,[2],5.61,6524,4th,7,How Ye Miss,"Mid,Crd1&3&4",29.2,10,32.6,100/30,A8,29.86
Pyrus,D,01/05/2023,2,15/03/2025,Yrmth,462m,[3],5.44,2211,4th,4¾,Byrneville Mouse,"Mid,Ld1/2-Crd4",28.98,N,32.8,11-Apr,A8,29.36
Pyrus,D,01/05/2023,2,09/03/2025,Yrmth,462m,[1],5.6,6411,1st,4,Mattsbluprincess,"Mid-Rls,Ld1/2",29.08,N,33,05-Feb,A9,29.08
Pyrus,D,01/05/2023,2,01/03/2025,Yrmth,462m,[2],5.6,6343,3rd,1¼,Sugar Tiger,"Mid,Crd2&3,RnOn",29.63,N,33.2,100/30,A9,29.73
Snooty Biscuits,B,01/07/2022,2,14/06/2025,Yrmth,462m,[1],5.49,3555,5th,6½,Murlens Brae,"Rls-Mid,Crd-1&1&1/4",28.52,N,29.2,06-Jan,A6,29.04
Snooty Biscuits,B,01/07/2022,2,08/06/2025,Yrmth,462m,[1],5.59,5566,6th,10¼,Rapido Shan,"Rls-Mid,Crd1",28.47,N,29.2,05-Jan,A7,29.3
Snooty Biscuits,B,01/07/2022,2,01/06/2025,Yrmth,462m,[1],5.46,4666,5th,3¼,Mortimer Girls,"Rls,Crd1",28.6,20,29.2,12-Jan,A6,29.06
Snooty Biscuits,B,01/07/2022,2,25/05/2025,Yrmth,462m,[2],5.44,3335,6th,13¼,Sir Gazza,"Mid-Rls,Crd2",28.07,30,29,33/1,A6,29.43
Snooty Biscuits,B,01/07/2022,2,18/05/2025,Yrmth,462m,[1],5.54,6656,5th,8¼,Wachovia Blaze,Rls,28.34,10,30,12-Jan,A6,29.11
Snooty Biscuits,B,01/07/2022,2,11/05/2025,Yrmth,462m,[2],5.5,5656,6th,9¼,Barnora Horse,Rls-Mid,28.3,20,29.8,20-Jan,A6,29.24
Snooty Biscuits,B,01/07/2022,2,05/05/2025,Yrmth,277m,[2],,,,,Solo,Rls-Mid,17.13,N,29,,T1,17.13
Snooty Biscuits,B,01/07/2022,2,06/04/2025,Yrmth,462m,[1],5.51,3555,5th,dist,Lily Sixtyeight,"Rls,Crd-1,BdCrd&Fell1",28.47,N,28.5,04-Jan,A6,0
Snooty Biscuits,B,01/07/2022,2,26/03/2025,Yrmth,462m,[1],5.48,2664,2nd,4½,Syd Report,"QAw,Rls,Crd1/4,RnOnWll",28.65,N,28.6,11-Apr,A6,29.01
Snooty Biscuits,B,01/07/2022,2,16/03/2025,Yrmth,462m,[1],5.62,6655,3rd,4,Ballyalton,Rls,28.62,N,28.7,04-Jan,A6,28.94
Snooty Biscuits,B,01/07/2022,2,09/03/2025,Yrmth,462m,[1],5.48,4222,2nd,1¼,Wachovia Blaze,Rls,28.42,N,29.2,11-Apr,A6,28.52
Snooty Biscuits,B,01/07/2022,2,03/03/2025,Yrmth,462m,[1],5.54,6644,3rd,4¼,Hecrossedthesea,"Rls-Mid,BmpStt,Crd1",28.61,-10,29.2,06-Jan,A6,28.86
Starshinesweetie,B,Oct-22,2,16/06/2025,Yrmth,462m,[6],5.32,1111,1st,10,Fight To Win,"QAw,Ld",28.06,10,26,03-Jan,A3,28.16
Starshinesweetie,B,Oct-22,2,11/06/2025,Yrmth,462m,[5],5.31,3666,5th,6,Bit View Sal,"W,BmpRnUp,Crd1",28,N,26.8,07-Jan,A3,28.49
Starshinesweetie,B,Oct-22,2,04/06/2025,Yrmth,462m,[6],5.44,2444,4th,7½,Puckane Sydney,"W,Crd1/4",27.65,20,26,14-Jan,A2,28.46
Starshinesweetie,B,Oct-22,2,28/05/2025,Yrmth,462m,[6],5.42,2556,5th,7¾,Roseville Best,"W,Crd1/4&3",28.05,N,26.4,18-Jan,A2,28.67
Starshinesweetie,B,Oct-22,2,24/05/2025,Yrmth,462m,[6],5.41,3443,2nd,6½,Kilara Reaper,"W,VBdCrd,RnIn",27.77,20,26.2,11-Jan,A2,28.49
Starshinesweetie,B,Oct-22,2,19/05/2025,Yrmth,462m,[6],5.44,5233,1st,nk,Another Roman,"W,RnOn",28.31,N,26.6,10-Jan,A3,28.31
Starshinesweetie,B,Oct-22,2,14/05/2025,Yrmth,462m,[6],5.4,1443,1st,hd,Colla Debs,"QAw,W,RnOn,WnWll",28.35,10,25.9,06-Jan,A4,28.45
Starshinesweetie,B,Oct-22,2,10/05/2025,Yrmth,462m,[6],5.44,2644,4th,2¾,Raindrops,W,28.38,20,26.1,05-Jan,A4,28.8
Starshinesweetie,B,Oct-22,2,04/05/2025,Yrmth,462m,[6],5.46,2543,1st,3,Farneys Mabel,"W,LdRnIn",28.48,N,26.1,02-Jan,A5,28.48
Starshinesweetie,B,Oct-22,2,28/04/2025,Yrmth,462m,[5],5.57,3664,5th,6½,Full Control,CrdStt,28.32,N,26.4,06-Jan,A5,28.85
Starshinesweetie,B,Oct-22,2,23/04/2025,Yrmth,462m,[6],5.45,1665,6th,4¼,Rolo Sabbath,"QAw,W",28.16,20,25.4,14-Jan,A4,28.69
Starshinesweetie,B,Oct-22,2,19/04/2025,Yrmth,659m,[6],17.28,1666,5th,12½,Bogger Cash,"QAw,W",40.74,N,25.4,33/1,OR,41.74
Starshinesweetie,B,Oct-22,2,14/04/2025,Yrmth,462m,[5],5.46,2554,3rd,6,Toomevara Sheera,"W,Crd1",28.12,10,25.4,09-Jan,A3,28.71
Starshinesweetie,B,Oct-22,2,09/04/2025,Yrmth,462m,[6],5.43,2444,4th,7¾,Another Roman,"W,Crd1",28.12,N,25.4,09-Jan,A3,28.74
Starshinesweetie,B,Oct-22,2,05/04/2025,Yrmth,843m,[5],28.27,1123,3rd,5,Ballymac Nova,"W,Ld-4",53.93,N,25.3,06-Jan,OR,54.33
Starshinesweetie,B,Oct-22,2,29/03/2025,Yrmth,843m,[5],28.35,2444,3rd,7¾,Capel Rose,"W,Crd1&2",53.78,N,25.1,09-Feb,OR,54.41
Starshinesweetie,B,Oct-22,2,22/03/2025,Yrmth,659m,[6],17.17,4442,1st,4½,Crypto Jackpot,"W,Crd2,LdRnIn,RnOn",41.95,N,25.5,10/11F,OR,41.95
Starshinesweetie,B,Oct-22,2,17/03/2025,Yrmth,462m,[6],5.34,1111,1st,3¾,Headford Rose,"QAw,Ld",28.35,-10,26,11-Apr,A4,28.25
Starshinesweetie,B,Oct-22,2,12/03/2025,Yrmth,462m,[6],5.42,2553,2nd,shd,Tell On Aimee,"W,Crd1/4,StrFn,RnOn",28.57,-10,25.6,05-Jan,A4,28.48
Starshinesweetie,B,Oct-22,2,05/03/2025,Yrmth,462m,[6],5.4,2544,3rd,3¼,Good Steel,"W,Crd1&3,RnOn",28.33,N,25.9,03-Jan,A4,28.58
Starshinesweetie,B,Oct-22,2,01/03/2025,Yrmth,462m,[6],5.44,3566,4th,3¼,Moaning Dolce,W,28.36,10,26,12-Jan,A3,28.72
Swift Airy,B,01/07/2021,3,14/06/2025,Yrmth,462m,[5],5.55,5444,4th,3¾,Murlens Brae,"Mid,Crd1",28.52,N,24.7,09-Feb,A6,28.83
Swift Airy,B,01/07/2021,3,09/06/2025,Yrmth,462m,[4],5.4,1223,2nd,1¾,Canya Queue,"QAw,Mid,Crd1",28.68,N,24.6,33/1,A7,28.83
Swift Airy,B,01/07/2021,3,01/06/2025,Yrmth,462m,[5],5.48,3443,1st,hd,Fahrenheit Isa,"Mid-W,RnOn",28.99,20,25.4,08-Jan,A8,29.19
Swift Airy,B,01/07/2021,3,25/05/2025,Yrmth,462m,[5],5.54,1111,1st,3,Malibu Miley,"Mid,ALd",29.25,20,25.4,1/4F,A9,29.45
Swift Airy,B,01/07/2021,3,19/05/2025,Yrmth,462m,[5],5.59,1221,2nd,shd,Rollovabeethoven,"QAw,Mid,Ld1/2-NrLn",29.48,10,25.7,8/11F,A9,29.59
Swift Airy,B,01/07/2021,3,11/05/2025,Yrmth,462m,[4],5.55,4455,4th,4¼,Murrow Tambora,"Mid,Crd1",28.83,20,25.6,07-Jan,A9,29.38
Swift Airy,B,01/07/2021,3,13/04/2025,Yrmth,659m,[5],17.39,2551,1st,2½,Murrow Tambora,"Mid,Ld5",42.67,15,24.9,05-Jan,S3,42.82
Swift Airy,B,01/07/2021,3,30/03/2025,Yrmth,659m,[4],17.84,6666,5th,17,Fight To Win,"Mid,Blk1",42.32,-30,24.9,33/1,S3,43.38
Swift Airy,B,01/07/2021,3,23/03/2025,Yrmth,462m,[5],5.65,6666,6th,9,Danny Dog,"Mid,BmpStt,Crd1/4",28.79,20,25,08-Jan,A8,29.71
Swift Airy,B,01/07/2021,3,16/03/2025,Yrmth,462m,[5],,,NR,,Runinthepark,Non Arrival,29.12,N,,,A8,0
Swift Airy,B,01/07/2021,3,09/03/2025,Yrmth,462m,[5],5.62,3555,3rd,1½,Fahrenheit Isa,Mid-W,29.24,N,25.6,05-Jan,A8,29.36
Tableseventyone,D,Jun-22,3,11/06/2025,Yrmth,462m,[6],5.42,3455,5th,12½,Taylormade Bono,W,28.37,N,33.7,08-Jan,A6,29.37
Tableseventyone,D,Jun-22,3,04/06/2025,Yrmth,462m,[6],5.46,2566,6th,15¾,Headford Rose,"W,BdCrd1",28.13,30,33.6,12-Jan,A5,29.7
Tableseventyone,D,Jun-22,3,25/05/2025,Yrmth,462m,[6],5.51,2243,3rd,6¼,Take Off Buster,W,28.53,30,34,06-Jan,A5,29.33
Tableseventyone,D,Jun-22,3,18/05/2025,Yrmth,462m,[6],5.48,3566,6th,11½,Perpendicular,W,28.27,10,33,05-Feb,A5,29.29
Tableseventyone,D,Jun-22,3,11/05/2025,Yrmth,462m,[6],5.34,3233,3rd,1¾,Murrow Toaster,"W,LdRnUp-1",28.42,30,33.9,05-Jan,A5,28.86
Tableseventyone,D,Jun-22,3,04/05/2025,Yrmth,462m,[6],5.4,2112,5th,4¼,Rapido Maria,"W,SnLd-3/4",28.64,N,33.7,06-Jan,A5,28.99
Tableseventyone,D,Jun-22,3,27/04/2025,Yrmth,462m,[6],5.22,1111,1st,3,Merry Magic,"QAw,Ld",28.58,10,34.1,07-Feb,A6,28.68
Tableseventyone,D,Jun-22,3,20/04/2025,Yrmth,462m,[5],5.41,1221,2nd,1¼,Marinas Diva,"Mid-W,Ld-1&Fr3-RnIn",28.83,N,33.9,07-Jan,A5,28.93
Tableseventyone,D,Jun-22,3,14/04/2025,Yrmth,462m,[5],5.32,2234,6th,14¼,Prestige Dream,Mid-W,28.28,20,34.1,07-Jan,A5,29.63
Tableseventyone,D,Jun-22,3,06/04/2025,Yrmth,462m,[6],5.47,5221,1st,shd,Hollyhill Jimmy,"W,Ld3",28.64,N,34.7,5/2F,A6,28.64
Tableseventyone,D,Jun-22,3,30/03/2025,Yrmth,462m,[5],5.45,2111,3rd,nk,Zoo Da Man,"Mid-W,LdRnUp-NrLn",29.5,-20,35.3,07-Feb,A6,29.33
Tableseventyone,D,Jun-22,3,24/03/2025,Yrmth,277m,[5],,4-5-,5th,11,Scotchrath Blake,"Mid-W,BdCrd1",16.79,5,34.5,09-Feb,D2,17.73
Tableseventyone,D,Jun-22,3,16/03/2025,Yrmth,462m,[6],5.46,3444,5th,5,Ballyalton,"W,Crd3",28.62,N,34.5,06-Jan,A6,29.01
Tableseventyone,D,Jun-22,3,10/03/2025,Yrmth,462m,[5],5.38,1111,2nd,¾,Raparee Sapphire,"Mid-W,Ld-NrLn",28.72,N,33.9,09-Apr,A6,28.78
Tableseventyone,D,Jun-22,3,05/03/2025,Yrmth,462m,[6],5.55,6666,6th,12¼,Tasty Tea,"MsdBrk,Mid-W,Crd1&3,VW1/4",28.26,N,33.7,06-Jan,A5,29.24
Tableseventyone,D,Jun-22,3,01/03/2025,Yrmth,462m,[5],5.39,3332,3rd,8,Drumdoit Buster,Mid-W,27.93,10,33.9,06-Jan,A5,28.68
Take Off Disney,B,Sep-22,2,14/06/2025,Yrmth,462m,[3],5.44,3566,6th,13,Nova Boots,"Mid,BdCrd1&2",28.61,N,27.9,07-Jan,A6,29.66
Take Off Disney,B,Sep-22,2,08/06/2025,Yrmth,462m,[2],5.48,5333,3rd,6¾,Farneys Mabel,"Mid-Rls,Crd1/4",28.46,N,27.5,22-Jan,A6,29.01
Take Off Disney,B,Sep-22,2,01/06/2025,Yrmth,462m,[1],5.41,2223,3rd,7¼,Good Twlight,"Mid,Crd1",28.37,30,27.6,,T3,29.26
Take Off Disney,B,Sep-22,2,19/04/2025,Yrmth,659m,[1],17.11,6544,5th,11¼,Pavilion Colleen,Rls-Mid,41.43,N,27,12-Jan,OR,42.33
Take Off Disney,B,Sep-22,2,13/04/2025,Yrmth,462m,[3],5.53,4555,5th,8½,Divine Faith,"Mid-Rls,BdCrd1",28.23,10,27.5,06-Jan,A4,29.01
Take Off Disney,B,Sep-22,2,06/04/2025,Yrmth,462m,[2],5.38,4555,5th,6¼,Glenrock Jet,"Rls-Mid,Crd2",28.17,N,27.3,20-Jan,A3,28.68
Take Off Disney,B,Sep-22,2,23/03/2025,Yrmth,462m,[2],5.49,4666,6th,9¾,Hollywell Viper,"Rls-Mid,Crd-1,BdCrd1",28.14,20,27.5,14-Jan,A3,29.12
Take Off Disney,B,Sep-22,2,16/03/2025,Yrmth,277m,[3],,,,,Solo,Rls-Mid,16.86,N,27.7,,T1,16.86
Take Off Disney,B,Sep-22,2,09/03/2025,Yrmth,462m,[2],5.38,2166,6th,dist,Rings Ruby,"Rls-Mid,SnLd-BdCrd&Fell2",28.79,N,28,10-Jan,A3,0
Take Off Disney,B,Sep-22,2,02/03/2025,Yrmth,462m,[2],5.5,5555,5th,4¼,Stonepark Harry,Rls-Mid,28.26,N,27.9,10-Jan,A3,28.61
Wachovia Manor,D,01/10/2021,3,16/06/2025,Yrmth,462m,[2],5.54,5444,4th,6¾,Easy Liberty,"Mid-Rls,Crd3",28.28,10,32,06-Jan,A7,28.92
Wachovia Manor,D,01/10/2021,3,08/06/2025,Yrmth,462m,[2],5.47,1111,1st,4¾,Chloes Lexie,"QAw,Mid,ToRls,Ld1",28.72,N,32.2,2/1F,A8,28.72
Wachovia Manor,D,01/10/2021,3,01/06/2025,Yrmth,462m,[2],5.36,2111,2nd,¾,Hard Days Night,"Mid-Rls,SnLd-RnIn",28.44,20,32.2,5/6F,A8,28.7
Wachovia Manor,D,01/10/2021,3,25/05/2025,Yrmth,462m,[1],5.61,5311,2nd,hd,Rollovabeethoven,"Rls-Mid,Ld1/2-NrLn",29.06,20,31.9,4/6F,A8,29.28
Wachovia Manor,D,01/10/2021,3,11/05/2025,Yrmth,462m,[1],5.55,6333,3rd,6½,Hollyhill Jimmy,"Rls,Crd1",28.25,40,32.2,07-Jan,A7,29.18
Wachovia Manor,D,01/10/2021,3,04/05/2025,Yrmth,462m,[1],5.53,4333,3rd,2,Perpendicular,Rls,28.81,N,32.1,09-Jan,A7,28.97
Wachovia Manor,D,01/10/2021,3,20/04/2025,Yrmth,462m,[2],5.53,4111,2nd,nk,Fahrenheit Isa,"Rls-Mid,Ld1/4-NrLn",29.12,-10,32,04-Jan,A7,29.05
Wachovia Manor,D,01/10/2021,3,06/04/2025,Yrmth,462m,[3],5.51,6556,6th,10,Solo,"Mid-Rls,BdCrd1",28.56,N,32.4,07-Jan,A7,29.36
Wachovia Manor,D,01/10/2021,3,29/03/2025,Yrmth,462m,[3],5.42,1226,6th,9¼,To Be Fare,"QAw,Mid,Crd&Blk3",28.62,N,32.2,07-Jan,A6,29.36
Wachovia Manor,D,01/10/2021,3,23/03/2025,Yrmth,462m,[3],5.52,3322,3rd,3½,Orchid Kingdom,Mid-Rls,28.48,20,32.2,09-Feb,A6,28.97
Wachovia Manor,D,01/10/2021,3,15/03/2025,Yrmth,462m,[3],5.56,,,,Solo,Mid,28.98,N,32.3,,T1,28.98
Wachovia Manor,D,01/10/2021,3,08/03/2025,Yrmth,462m,[2],5.46,3666,6th,dist,Moaning Gabana,"Rls-Mid,VBdBlk1",28.4,N,32.3,10-Jan,A6,0
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
,,,125,,,,,,,,,,,,,,,,
